left_record_uid,right_record_uid,left_source,right_source,left_name,right_name,left_status,right_status,distance_m,name_score,match_rule,is_grouped_match
FracTracker:frac_row_1058,PNNL:building_01269259655,FracTracker,PNNL,AMAZON DATA SERVICES INC,,Operating,Operating/inferred,617.423,0.0,candidate_only,False
NAICS:naics_290,PNNL:building_00985207884,NAICS,PNNL,AMERICAN REAL ESTATE PARTNERS (AREP),Vantage VA12,Operating/inferred,Operating/inferred,617.448,0.0,candidate_only,False
FracTracker:frac_row_965,PNNL:building_00273896089,FracTracker,PNNL,WATERSIDE AWS,Centersquare IAD2-A,Operating,Operating/inferred,617.504,0.0,candidate_only,False
FracTracker:frac_row_1190,PNNL:building_00460056024,FracTracker,PNNL,Sterling Data Center,Amazon IAD15,Operating,Operating/inferred,617.742,0.0,candidate_only,False
FracTracker:frac_row_1192,PNNL:building_00465062052,FracTracker,PNNL,AWS: IAD58,Amazon IAD87,Operating,Operating/inferred,617.827,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_1191,PNNL:building_00460056020,FracTracker,PNNL,IAD57 Data Center,Amazon IAD56,Operating,Operating/inferred,618.226,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_1068,PNNL:campus_00696992451,FracTracker,PNNL,GI TC 7510 MASON KING CT LLC (Amazon),,Operating,Operating/inferred,618.26,0.0,candidate_only,False
NAICS:naics_331,PNNL:building_00585998677,NAICS,PNNL,SWITCH LTD.,Switch Las Vegas 8,Operating/inferred,Operating/inferred,618.296,1.0,candidate_only_low_specificity,False
NAICS:naics_345,PNNL:building_00585998677,NAICS,PNNL,SWITCH COMMUNICATIONS,Switch Las Vegas 8,Operating/inferred,Operating/inferred,618.296,1.0,candidate_only_low_specificity,False
NAICS:naics_253,PNNL:building_00192307107,NAICS,PNNL,BRACKET GLOBAL LLC,360 Spear Street Data Center,Operating/inferred,Operating/inferred,618.327,0.0,candidate_only_low_specificity,False
NAICS:naics_322,PNNL:building_01252196826,NAICS,PNNL,"AMAZON DATA SERVICES, INC. IAD-61 IAD-63 IAD-65  IAD-86",Amazon Web Services,Operating/inferred,Operating/inferred,618.802,0.25,candidate_only,False
FracTracker:frac_row_1225,PNNL:building_00435324552,FracTracker,PNNL,Manekin Plaza,"CyrusOne NVA1, NVA2 & NVA3",Proposed,Operating/inferred,618.885,0.0,candidate_only,False
FracTracker:frac_row_889,PNNL:building_00463571875,FracTracker,PNNL,RAGING WIRE VA1,Amazon IAD78,Operating,Operating/inferred,619.1,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_852,PNNL:building_00793888427,FracTracker,PNNL,ALIGNED ENERGY DATA CENTERS ASHBURN,Sabey Intergate.Ashburn (Building A),Operating,Operating/inferred,619.113,0.167,candidate_only,False
FracTracker:frac_row_1078,PNNL:building_00996723588,FracTracker,PNNL,Manassas Point,Amazon Web Services,Proposed,Operating/inferred,619.486,0.0,candidate_only,False
FracTracker:frac_row_1214,PNNL:building_00299927846,FracTracker,PNNL,FR SUMMIT AWS,Amazon IAD76,Operating,Operating/inferred,619.516,0.0,candidate_only,False
FracTracker:frac_row_523,PNNL:building_01427613546,FracTracker,PNNL,Johnstown Data Center (Beech Rd NW),Vantage Building 3,Proposed,Operating/inferred,619.587,0.0,candidate_only,False
NAICS:naics_290,PNNL:building_00701924664,NAICS,PNNL,AMERICAN REAL ESTATE PARTNERS (AREP),,Operating/inferred,Operating/inferred,619.644,0.0,candidate_only,False
FracTracker:frac_row_1019,PNNL:building_01134911640,FracTracker,PNNL,DC-4,AWS IAD105,Proposed,Operating/inferred,619.679,0.0,candidate_only,False
FracTracker:frac_row_1215,PNNL:building_00793087859,FracTracker,PNNL,GI TC 45360 SEVERN WAY LLC,Amazon IAD118,Operating,Operating/inferred,619.91,0.0,candidate_only,False
FracTracker:frac_row_1214,PNNL:building_00460175664,FracTracker,PNNL,FR SUMMIT AWS,,Operating,Operating/inferred,620.129,0.0,candidate_only,False
FracTracker:frac_row_971,PNNL:building_00239147724,FracTracker,PNNL,Northrop Grumman Systems Corporation,DataBank McLean IAD2,Operating,Operating/inferred,620.207,0.0,candidate_only,False
FracTracker:frac_row_862,PNNL:building_01309123034,FracTracker,PNNL,CLOUD HQ LC3,Equinix Ashburn DC4,Operating,Operating/inferred,620.4,0.0,candidate_only_code_conflict,False
NAICS:naics_457,PNNL:building_00860433344,NAICS,PNNL,"NTT GLOBAL DATA CENTERS HI, LLC",Flexential Portland - Hillsboro 4,Operating/inferred,Operating/inferred,620.732,0.0,candidate_only,False
NAICS:naics_401,PNNL:building_00460159925,NAICS,PNNL,1849 FORTUNE DRIVE,,Operating/inferred,Operating/inferred,620.969,0.0,candidate_only,False
FracTracker:frac_row_55,PNNL:building_00888253616,FracTracker,PNNL,Santa Clara EdgeConneX Edge Data Center (EDC) - SVC01,NTT Silicon Valley SV1 Data Center,Operating,Operating/inferred,621.101,0.0,candidate_only_code_conflict,False
NAICS:naics_492,PNNL:point_12452254071,NAICS,PNNL,BLOOMBERG PISCATAWAY DATA CTR,Open Data Centers Piscataway,Operating/inferred,Operating/inferred,621.19,0.25,candidate_only,False
NAICS:naics_196,PNNL:building_01314012931,NAICS,PNNL,3011 LAFAYETTE,Digital Realty Silicon Valley SJC37,Operating/inferred,Operating/inferred,621.214,0.0,candidate_only_low_specificity,False
FracTracker:frac_row_1251,NAICS:naics_175,FracTracker,NAICS,Thayer Road,INOVA HEALTH CARE SYSTEMS - IT OPERATIONS,Proposed,Operating/inferred,621.294,0.0,candidate_only,False
FracTracker:frac_row_1200,PNNL:building_00460056024,FracTracker,PNNL,DCT DULLES DOWNS Land Bay A,Amazon IAD15,Operating,Operating/inferred,621.361,0.0,candidate_only,False
NAICS:naics_524,PNNL:building_00888253616,NAICS,PNNL,1525 COMSTOCK  C/O DIGITAL REALTY TRUST,NTT Silicon Valley SV1 Data Center,Operating/inferred,Operating/inferred,621.737,0.0,candidate_only,False
FracTracker:frac_row_1218,PNNL:building_00465062052,FracTracker,PNNL,IAD03,Amazon IAD87,Operating,Operating/inferred,621.937,0.0,candidate_only_code_conflict,False
