dw_polygon_id,site_id,threshold,scene_count,built_probability_mean,built_vote_fraction_mean,area_m2,product,observation_start,observation_end,dataset,nominal_resolution_m,geometry_confidence,interpretation,known_roof_overlap_m2,known_roof_overlap_pct,screening_class
dw26_inclusive_001,cyrusone_aurora_chi1_chi2,0.3,33,0.6345929949473122,0.8396729286342615,159856.04655291015,inclusive,2026-01-01,2026-08-31,GOOGLE/DYNAMICWORLD/V1,10,low,provisional built surface; not a roof boundary,60573.48320617301,37.892519246135635,supports existing roof footprint
dw26_inclusive_002,cyrusone_aurora_iii,0.3,33,0.5328023230953788,0.854764764764774,82636.74166642876,inclusive,2026-01-01,2026-08-31,GOOGLE/DYNAMICWORLD/V1,10,low,provisional built surface; not a roof boundary,19765.546067607946,23.918593193562124,large unmatched built-surface candidate
dw26_inclusive_003,edged_chicago,0.3,33,0.4486854869290034,0.8139945078158065,78314.44168421137,inclusive,2026-01-01,2026-08-31,GOOGLE/DYNAMICWORLD/V1,10,low,provisional built surface; not a roof boundary,10810.499166623496,13.803966336394062,large unmatched built-surface candidate
dw26_inclusive_004,edged_chicago,0.3,33,0.3477641218300097,0.7194301994301986,14517.027874794627,inclusive,2026-01-01,2026-08-31,GOOGLE/DYNAMICWORLD/V1,10,low,provisional built surface; not a roof boundary,0.0,0.0,large unmatched built-surface candidate
