dw_polygon_id,site_id,threshold,scene_count,built_probability_mean,built_vote_fraction_mean,area_m2,product,observation_start,observation_end,dataset,nominal_resolution_m,geometry_confidence,interpretation,known_roof_overlap_m2,known_roof_overlap_pct,screening_class
dw26_core_001,cyrusone_aurora_chi1_chi2,0.5,33,0.6511539346614764,0.841361447132606,147719.7475269027,core,2026-01-01,2026-08-31,GOOGLE/DYNAMICWORLD/V1,10,low,provisional built surface; not a roof boundary,56031.74511907729,37.931113515390216,supports existing roof footprint
dw26_core_002,cyrusone_aurora_iii,0.5,33,0.6191300978314844,0.8890873015873108,50028.54752079031,core,2026-01-01,2026-08-31,GOOGLE/DYNAMICWORLD/V1,10,low,provisional built surface; not a roof boundary,18981.81700085023,37.941971017571475,supports existing roof footprint
dw26_core_003,edged_chicago,0.5,33,0.5672203315928944,0.8816891658013161,23896.178554349674,core,2026-01-01,2026-08-31,GOOGLE/DYNAMICWORLD/V1,10,low,provisional built surface; not a roof boundary,9840.881607139914,41.18182154003297,supports existing roof footprint
dw26_core_004,edged_chicago,0.5,33,0.5127856278850231,0.8888888888888888,595.5386247566114,core,2026-01-01,2026-08-31,GOOGLE/DYNAMICWORLD/V1,10,low,provisional built surface; not a roof boundary,0.0,0.0,unmatched built-surface candidate
